Knocked Genes,Knocked Count,Fitness
"262_AT1,4129_AT1,10087_AT1,56623_AT1,5332_AT1,64080_AT1,54981_AT1,6487_AT3,4722_AT1,51458_AT1",10,0.0188829429385105
1120_AT2,1,0.0187228390078822
"2348_AT2,79901_AT1,8612_AT1,641372_AT1,4714_AT1,539_AT1",6,0.0186611550037318
"204_AT1,10166_AT1,1572_AT1,1549_AT1",4,0.0186563371985619
"4128_AT1,206358_AT1,3098_AT4,56954_AT1,210_AT2,123264_AT1",6,0.018065514214245
"2348_AT6,36_AT1,53905_AT1,3157_AT2,9365_AT1,4711_AT1,10170_AT1",7,0.0175422915194198
"206358_AT1,1806_AT1,3620_AT1,23236_AT2,6389_AT1,3612_AT1,253017_AT1,163404_AT1,154141_AT1",9,0.0175408512539934
"3422_AT1,8611_AT2,54658_AT1,81537_AT1,83594_AT1,4541_AT1,55967_AT1,2946_AT1,2173_AT1",9,0.0175081390788049
"2806_AT1,954_AT2,644_AT1,4597_AT1,6511_AT1,3340_AT1,7372_AT1,30061_AT1,1549_AT1",9,0.0174792997274325
"79751_AT1,5320_AT1,3293_AT1,4891_AT1,54963_AT1,8534_AT1,1573_AT1,10728_AT1,3930_AT1",9,0.0173108071762883
"125_AT1,10317_AT2,54677_AT1,7001_AT3,6392_AT1,5213_AT1,55331_AT1,8513_AT1,122618_AT1,360203_AT1",10,0.017245779986152
"2805_AT1,3073_AT1,9057_AT1,7173_AT5,57094_AT1,55967_AT1",6,0.0172277072027704
"129607_AT1,63917_AT1,10846_AT1",3,0.0172025518216173
"55577_AT1,2593_AT1,10720_AT1,4712_AT2,6419_AT1,146802_AT1",6,0.0171307718720052
"51727_AT1,4537_AT1",2,0.0170391312477875
"2745_AT1,1558_AT2,10935_AT2,4697_AT1,515_AT2",5,0.0168499487352638
"221_AT1,18_AT2",2,0.0167801778967448
"51_AT2,3417_AT1,54965_AT1,4536_AT1,79723_AT1,441282_AT1",6,0.0167291689228127
"955_AT1,9187_AT1,5322_AT1,29968_AT1,154141_AT1,9551_AT2",6,0.0159933638995773
"2731_AT1,8310_AT1,26062_AT1,51447_AT5,222962_AT1,90161_AT2,4351_AT1,340485_AT1",8,0.0158157538311044
"52_AT3,6799_AT2,1036_AT1,9514_AT1,9807_AT2,91373_AT1,29085_AT1",7,0.0153276705083771
"64902_AT1,57678_AT1,9942_AT1,6487_AT3",4,0.0149823829610549
